task,bc,td3bc_n,iql,cql,aspl_c,scas_n,scaspl_pn,scc_n
hopper_d4rl_medium,102.05,99.90,110.76,105.22,,2.70(L),,135.50*
hopper_d4rl_expert,78.95,77.31,25.00,79.38,,-0.46(L),,88.41*
hopper_d4rl_hybrid,76.70,100.19,71.46,76.76,,7.25(L),,146.97*
hopper_replay_medium,41.57,46.11,98.60,2.31,,28.06(L),,134.21*
hopper_replay_expert,17.58,40.50,77.61*,0.98,,71.92(L),,78.43*
walker2d_d4rl_medium,114.41*,!118.81*,101.91,!115.25*,115.56(L)*,117.11(L)*,!118.95(L)*,!118.77*
walker2d_d4rl_expert,94.13*,!92.36*,74.91,!6.07,82.41(L),3.25(L),!80.66(L),!11.18
walker2d_d4rl_hybrid,86.62,!107.07*,102.99*,!85.52,87.38(L),22.97(L),!101.84(L)*,!83.68
walker2d_replay_medium,23.85,!102.25,68.75,!36.20,116.91(L),123.06(L)*,!117.91(L)*,!123.07*
walker2d_replay_expert,24.11,!72.47,55.31,!76.58,80.39(L),87.12(L)*,!85.24(L)*,!84.44*
halfcheetah_d4rl_medium,103.63,112.50,113.23,141.97*,,116.00(L),,113.00
halfcheetah_d4rl_expert,102.40*,102.39*,79.99,0.80,,23.61(L),,89.12
halfcheetah_d4rl_hybrid,77.52,83.71,104.21*,70.29,,,,106.71*
halfcheetah_replay_medium,74.48,105.89,106.55,125.00*,,,,105.85
halfcheetah_replay_expert,65.81,74.06,71.55,85.13*,,,,77.25
